,estimator,mean_score,max_score,decay,epochs,layerNum,lr
56,CNN,0.7806324005126953,0.8695651888847351,0.001,80,1,0.005
8,CNN,0.7636363625526428,0.8181818127632141,0,40,1,0.005
26,CNN,0.7632411003112793,0.782608687877655,0,80,2,0.005
32,CNN,0.7628458499908447,0.8695651888847351,0.001,35,1,0.005
58,CNN,0.7553359627723694,0.8636363744735718,0.001,80,2,0.005
52,CNN,0.7549407124519348,0.8181818127632141,0.001,45,3,0.005
40,CNN,0.7545454502105713,0.782608687877655,0.001,40,1,0.005
18,CNN,0.7466403245925903,0.8636363744735718,0,45,2,0.005
33,CNN,0.7466403126716614,0.8636363744735718,0.001,35,1,0.01
38,CNN,0.7462450623512268,0.8181818127632141,0.001,35,4,0.005
42,CNN,0.7458498120307923,0.9130434989929199,0.001,40,2,0.005
19,CNN,0.7458498001098632,0.782608687877655,0,45,2,0.01
9,CNN,0.7371541500091553,0.8260869383811951,0,40,1,0.01
10,CNN,0.7371541380882263,0.782608687877655,0,40,2,0.005
41,CNN,0.7367588996887207,0.8260869383811951,0.001,40,1,0.01
16,CNN,0.7367588996887207,0.782608687877655,0,45,1,0.005
35,CNN,0.7292490124702453,0.8636363744735718,0.001,35,2,0.01
22,CNN,0.7288537621498108,0.8181818127632141,0,45,4,0.005
2,CNN,0.7288537502288819,0.8181818127632141,0,35,2,0.005
36,CNN,0.7284584999084472,0.782608687877655,0.001,35,3,0.005
34,CNN,0.7284584999084472,0.782608687877655,0.001,35,2,0.005
4,CNN,0.7197628498077393,0.7727272510528564,0,35,3,0.005
44,CNN,0.7197628378868103,0.8260869383811951,0.001,40,3,0.005
24,CNN,0.7197628378868103,0.7727272510528564,0,80,1,0.005
53,CNN,0.7118577122688293,0.8636363744735718,0.001,45,3,0.01
3,CNN,0.7118577122688293,0.8636363744735718,0,35,2,0.01
50,CNN,0.7110671997070312,0.7727272510528564,0.001,45,2,0.005
48,CNN,0.7102766871452332,0.782608687877655,0.001,45,1,0.005
21,CNN,0.7027668118476867,0.8181818127632141,0,45,3,0.01
46,CNN,0.7027667999267578,0.8181818127632141,0.001,40,4,0.005
20,CNN,0.7027667999267578,0.8181818127632141,0,45,3,0.005
54,CNN,0.7019762992858887,0.782608687877655,0.001,45,4,0.005
63,CNN,0.7019762992858887,0.782608687877655,0.001,80,4,0.01
0,CNN,0.7019762873649598,0.782608687877655,0,35,1,0.005
51,CNN,0.7019762873649598,0.782608687877655,0.001,45,2,0.01
28,CNN,0.7015810370445251,0.782608687877655,0,80,3,0.005
15,CNN,0.6932806372642517,0.739130437374115,0,40,4,0.01
60,CNN,0.6932806372642517,0.782608687877655,0.001,80,3,0.005
13,CNN,0.6932806372642517,0.739130437374115,0,40,3,0.01
39,CNN,0.6932806372642517,0.739130437374115,0.001,35,4,0.01
1,CNN,0.6928853750228882,0.782608687877655,0,35,1,0.01
29,CNN,0.6928853750228882,0.739130437374115,0,80,3,0.01
14,CNN,0.6924901247024536,0.782608687877655,0,40,4,0.005
43,CNN,0.6849802494049072,0.7727272510528564,0.001,40,2,0.01
31,CNN,0.6845849871635437,0.739130437374115,0,80,4,0.01
57,CNN,0.6845849752426147,0.782608687877655,0.001,80,1,0.01
17,CNN,0.6841897368431091,0.739130437374115,0,45,1,0.01
27,CNN,0.6841897249221802,0.739130437374115,0,80,2,0.01
11,CNN,0.6837944746017456,0.782608687877655,0,40,2,0.01
49,CNN,0.6837944746017456,0.739130437374115,0.001,45,1,0.01
12,CNN,0.6762845873832702,0.7727272510528564,0,40,3,0.005
61,CNN,0.6758893251419067,0.739130437374115,0.001,80,3,0.01
59,CNN,0.6754940748214722,0.782608687877655,0.001,80,2,0.01
37,CNN,0.6754940629005433,0.8260869383811951,0.001,35,3,0.01
62,CNN,0.6750988125801086,0.782608687877655,0.001,80,4,0.005
6,CNN,0.6675889372825623,0.7727272510528564,0,35,4,0.005
7,CNN,0.6667984127998352,0.739130437374115,0,35,4,0.01
25,CNN,0.6667984127998352,0.739130437374115,0,80,1,0.01
45,CNN,0.6660078883171081,0.8260869383811951,0.001,40,3,0.01
30,CNN,0.6581027746200562,0.695652186870575,0,80,4,0.005
47,CNN,0.6494071125984192,0.739130437374115,0.001,40,4,0.01
55,CNN,0.6328063130378723,0.7727272510528564,0.001,45,4,0.01
23,CNN,0.6320158243179321,0.6818181872367859,0,45,4,0.01
5,CNN,0.6142292380332947,0.695652186870575,0,35,3,0.01
