,estimator,mean_score,max_score,decay,epochs,lr
0,ffNN,0.7545454502105713,0.8260869383811951,0,35,0.005
12,ffNN,0.7458498001098632,0.782608687877655,0.001,45,0.005
14,ffNN,0.7454545497894287,0.8695651888847351,0.001,80,0.005
4,ffNN,0.7450592875480652,0.8695651888847351,0,45,0.005
10,ffNN,0.7371541500091553,0.782608687877655,0.001,40,0.005
13,ffNN,0.7371541500091553,0.8260869383811951,0.001,45,0.01
15,ffNN,0.7284584999084472,0.782608687877655,0.001,80,0.01
3,ffNN,0.7284584879875183,0.8260869383811951,0,40,0.01
5,ffNN,0.7193675994873047,0.8695651888847351,0,45,0.01
7,ffNN,0.7193675994873047,0.8695651888847351,0,80,0.01
2,ffNN,0.7110671877861023,0.8695651888847351,0,40,0.005
11,ffNN,0.7098814129829407,0.8260869383811951,0.001,40,0.01
9,ffNN,0.7027667999267578,0.8181818127632141,0.001,35,0.01
8,ffNN,0.7019762873649598,0.8260869383811951,0.001,35,0.005
6,ffNN,0.6936758756637573,0.782608687877655,0,80,0.005
1,ffNN,0.6932806372642517,0.782608687877655,0,35,0.01
